City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,77.63,overcast clouds,-23.1203,-134.9692,People ThankYou
15,Carutapera,BR,76.46,scattered clouds,-1.195,-46.02,Lidera
16,Cotonou,BJ,79.68,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
17,Kapaa,US,79.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Arraial Do Cabo,BR,75.88,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
24,Hilo,US,75.4,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Mar Del Plata,AR,75.22,thunderstorm with light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
36,Souillac,MU,77.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
41,Zuenoula,CI,76.14,overcast clouds,7.4292,-6.0431,Hotel Prestige Zla
54,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
56,New Norfolk,AU,77.9,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
58,Te Anau,NZ,77.45,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
59,Soyo,AO,76.68,broken clouds,-6.1349,12.3689,Hotel Mpampa
60,Hobart,AU,78.26,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
64,Bodden Town,KY,77.0,few clouds,19.2833,-81.25,Will T Place
70,Yopal,CO,77.31,overcast clouds,5.3378,-72.3959,Hotel Camoruco
71,Bourail,NC,79.84,overcast clouds,-21.5667,165.4833,Motel Allamanda
80,Cabo San Lucas,MX,77.5,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
84,Bambous Virieux,MU,77.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
89,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
95,Inhambane,MZ,75.54,broken clouds,-23.865,35.3833,Oceano
104,Quatre Cocos,MU,77.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
116,Belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
126,Atuona,PF,78.4,light rain,-9.8,-139.0333,Villa Enata
127,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
149,Bartica,GY,75.52,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
153,Meulaboh,ID,79.47,few clouds,4.1363,96.1285,Kost Pria
173,Cidreira,BR,78.33,light rain,-30.1811,-50.2056,Hotel Castelo
191,Moron,AR,77.02,thunderstorm with rain,-34.6534,-58.6198,Hotel Morón
199,Kiunga,PG,78.84,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
200,Bubaque,GW,77.67,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
