,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yeppoon,AU,-23.1333,150.7333,87.58,59,15,11.68,few clouds
1,Pavilosta,LV,56.8879,21.1859,37.31,74,91,15.41,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,77.63,69,100,10.8,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,38.86,93,75,14.97,moderate rain
4,Preobrazheniye,RU,42.9019,133.9064,27.73,72,100,4.21,overcast clouds
5,Darnah,LY,32.767,22.6367,57.15,67,73,15.68,broken clouds
6,Syedove,UA,47.0768,38.156,32.0,71,98,18.25,overcast clouds
7,Lagoa,PT,39.05,-27.9833,55.47,63,53,22.21,broken clouds
8,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,21.85,light rain
9,Barrow,US,71.2906,-156.7887,-14.78,76,100,5.75,haze
10,Pecos,US,31.4229,-103.4932,47.3,27,0,8.05,clear sky
11,Lerwick,GB,60.1545,-1.1494,44.6,84,100,25.43,overcast clouds
12,Manicore,BR,-5.8092,-61.3003,73.18,97,96,2.39,light rain
13,Hermanus,ZA,-34.4187,19.2345,68.9,90,8,10.09,clear sky
14,Hithadhoo,MV,-0.6,73.0833,83.03,73,93,14.54,overcast clouds
15,Carutapera,BR,-1.195,-46.02,76.46,90,32,4.65,scattered clouds
16,Cotonou,BJ,6.3654,2.4183,79.68,85,69,9.37,broken clouds
17,Kapaa,US,22.0752,-159.319,79.48,75,40,1.99,scattered clouds
18,Bredasdorp,ZA,-34.5322,20.0403,62.28,87,0,3.47,clear sky
19,Tarko-Sale,RU,64.9225,77.785,7.57,93,100,16.15,overcast clouds
20,Yellowknife,CA,62.456,-114.3525,-4.59,96,100,6.35,overcast clouds
21,Morehead,US,37.2711,-87.1764,38.1,72,0,9.22,clear sky
22,Balykshi,KZ,47.0667,51.8667,24.8,86,75,13.42,mist
23,Arraial Do Cabo,BR,-22.9661,-42.0278,75.88,88,99,10.56,overcast clouds
24,Hilo,US,19.7297,-155.09,75.4,88,100,8.05,overcast clouds
25,Mar Del Plata,AR,-38.0023,-57.5575,75.22,83,75,11.5,thunderstorm with light rain
26,Husavik,IS,66.0449,-17.3389,23.59,94,100,7.92,light snow
27,Sioux Lookout,CA,50.1001,-91.917,15.53,78,100,15.26,overcast clouds
28,College,US,64.8569,-147.8028,6.75,83,75,3.44,broken clouds
29,Saint-Denis,FR,48.9167,2.3333,32.27,94,100,3.0,mist
30,Sorland,NO,67.667,12.6934,42.82,93,100,33.44,light rain
31,Usak,TR,38.5,29.4167,25.54,66,0,5.57,clear sky
32,Vaini,TO,-21.2,-175.2,80.56,72,45,4.52,scattered clouds
33,Cape Town,ZA,-33.9258,18.4232,69.12,82,32,6.2,scattered clouds
34,Provideniya,RU,64.3833,-173.3,-9.74,92,32,5.59,scattered clouds
35,Viedma,AR,-40.8135,-62.9967,71.6,61,100,9.6,overcast clouds
36,Souillac,MU,-20.5167,57.5167,77.36,88,40,3.44,scattered clouds
37,Muros,ES,42.7762,-9.0603,48.7,88,93,8.66,overcast clouds
38,Ahipara,NZ,-35.1667,173.1667,73.89,53,3,11.86,clear sky
39,Mataura,NZ,-46.1927,168.8643,83.34,29,3,1.68,clear sky
40,Tiksi,RU,71.6872,128.8694,-24.36,99,38,6.22,scattered clouds
41,Zuenoula,CI,7.4292,-6.0431,76.14,23,99,0.25,overcast clouds
42,Pacifica,US,37.6138,-122.4869,61.3,61,75,1.01,broken clouds
43,Anadyr,RU,64.75,177.4833,-19.7,76,35,6.71,scattered clouds
44,Pravia,ES,43.4906,-6.1508,43.09,57,0,10.36,clear sky
45,Torbay,CA,47.6666,-52.7314,30.58,85,100,35.68,overcast clouds
46,Manzanillo,CU,20.3433,-77.1167,69.26,73,0,8.84,clear sky
47,Upernavik,GL,72.7868,-56.1549,-7.01,69,47,6.89,scattered clouds
48,Severo-Kurilsk,RU,50.6789,156.125,27.73,71,99,9.62,overcast clouds
49,Margate,GB,51.3813,1.3862,42.69,84,100,1.99,overcast clouds
50,Samarai,PG,-10.6167,150.6667,84.42,68,54,4.85,broken clouds
51,Dikson,RU,73.5069,80.5464,7.54,90,100,25.14,overcast clouds
52,Lorengau,PG,-2.0226,147.2712,84.29,73,100,8.57,overcast clouds
53,Port Alfred,ZA,-33.5906,26.891,74.91,75,100,15.66,overcast clouds
54,Oistins,BB,13.0667,-59.5333,78.89,83,75,17.27,broken clouds
55,Bluff,NZ,-46.6,168.3333,65.41,64,0,10.51,clear sky
56,New Norfolk,AU,-42.7826,147.0587,77.9,39,4,1.99,clear sky
57,Busselton,AU,-33.65,115.3333,72.09,40,0,8.28,clear sky
58,Te Anau,NZ,-45.4167,167.7167,77.45,37,3,4.54,clear sky
59,Soyo,AO,-6.1349,12.3689,76.68,88,84,6.8,broken clouds
60,Hobart,AU,-42.8794,147.3294,78.26,59,20,1.01,few clouds
61,Andenes,NO,69.3143,16.1194,39.18,75,75,24.16,broken clouds
62,Wattegama,LK,6.7989,81.4808,74.89,86,38,5.06,scattered clouds
63,Castro,BR,-24.7911,-50.0119,64.81,98,100,3.42,overcast clouds
64,Bodden Town,KY,19.2833,-81.25,77.0,72,20,4.0,few clouds
65,Bangassou,CF,4.7413,22.8184,70.95,75,100,2.55,overcast clouds
66,Agirish,RU,61.9247,63.0231,8.19,96,100,3.49,light snow
67,Cherskiy,RU,68.75,161.3,-35.12,97,61,2.73,broken clouds
68,Idil,TR,37.3411,41.8895,33.31,97,100,5.77,snow
69,Mancio Lima,BR,-7.6142,-72.8958,71.64,95,92,1.72,overcast clouds
70,Yopal,CO,5.3378,-72.3959,77.31,49,100,4.38,overcast clouds
71,Bourail,NC,-21.5667,165.4833,79.84,71,89,4.0,overcast clouds
72,Laguna,US,38.421,-121.4238,57.24,92,0,0.0,mist
73,Avarua,CK,-21.2078,-159.775,84.25,79,100,5.75,overcast clouds
74,Alofi,NU,-19.0595,-169.9187,82.0,70,52,8.57,broken clouds
75,Ancud,CL,-41.8697,-73.8203,53.42,83,90,8.34,overcast clouds
76,Arlit,NE,18.7369,7.3853,57.81,29,0,6.91,clear sky
77,Sangar,RU,63.9242,127.4739,-46.79,100,70,1.05,broken clouds
78,Jamestown,US,42.097,-79.2353,9.3,41,2,4.0,clear sky
79,Nikolskoye,RU,59.7035,30.7861,21.09,96,88,4.7,overcast clouds
80,Cabo San Lucas,MX,22.8909,-109.9124,77.5,61,20,3.44,few clouds
81,Butaritari,KI,3.0707,172.7902,81.77,80,100,19.57,light rain
82,Pinega,RU,64.7001,43.3936,4.62,97,31,5.01,scattered clouds
83,Kruisfontein,ZA,-34.0033,24.7314,64.89,85,88,8.1,overcast clouds
84,Bambous Virieux,MU,-20.3428,57.7575,77.22,88,40,3.44,scattered clouds
85,Vostok,RU,46.4856,135.8833,14.04,93,100,1.61,light snow
86,Verkhnevilyuysk,RU,63.4453,120.3167,-47.09,100,74,0.47,broken clouds
87,Kodiak,US,57.79,-152.4072,27.91,69,0,3.44,clear sky
88,Lebu,CL,-37.6167,-73.65,57.54,75,0,18.7,clear sky
